Strategy,N_Train,Batch_Size,Repetition,Epochs_Run,Train_Time_s,Time_per_Epoch_s,MAE_Energy,MAE_Force
classic,5000,128,1,1113,1051.67,0.9449,0.6678250165939331,3.522668683345734
classic,5000,128,2,1058,1000.37,0.9455,0.6861075241088868,3.8838981650700646
classic,5000,128,3,1200,1134.93,0.9458,0.6905554316997528,3.629801302470858
classic,5000,128,4,1434,1354.78,0.9448,0.6673524250030518,3.552122932167659
classic,5000,128,5,1150,1085.55,0.944,0.714197657775879,3.7266299769810267
classic,5000,128,6,1232,1165.76,0.9462,0.6765206094741821,3.549335880921379
classic,5000,128,7,1130,1067.71,0.9449,0.6878760953903198,3.5837677959139387
auto-diff,5000,128,1,1587,5713.95,3.6005,0.36115936238765717,0.6755634598989335
auto-diff,5000,128,2,1155,4098.79,3.5487,0.3656949073791504,0.6829928086053757
auto-diff,5000,128,3,1556,5525.03,3.5508,0.3516510735988617,0.6668008594331287
auto-diff,5000,128,4,1532,5429.54,3.5441,0.364686932849884,0.683426312546503
auto-diff,5000,128,5,1714,6074.26,3.5439,0.3610012992858887,0.6700007395910839
auto-diff,5000,128,6,1511,5382.7,3.5623,0.36398346128463743,0.6969250182136657
auto-diff,5000,128,7,1754,6208.23,3.5395,0.34530134744644164,0.6499166675385974
gradient,5000,128,1,1224,4346.62,3.5512,0.38413435974121096,0.6686649175734747
gradient,5000,128,2,1061,3757.08,3.5411,0.36378147888183593,0.6574363156273252
gradient,5000,128,3,1481,5266.98,3.5564,0.39565779876708984,0.6899156461201017
gradient,5000,128,4,1112,3939.65,3.5429,0.38313704376220703,0.6896209624759735
gradient,5000,128,5,1303,4627.53,3.5514,0.3966195373535156,0.6640737094455295
gradient,5000,128,6,1508,5584.93,3.7035,0.37489138793945315,0.6882153567359561
gradient,5000,128,7,1056,4125.75,3.907,0.37470328369140626,0.6694072960263207
